Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",0,3.92,Harmony,ebook,308,2007,2007,,2022/05/09,"to-read, desarrollo","to-read (#15), desarrollo (#1)",to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.33,Ecco,Paperback,408,2012,2011,,2022/05/09,"to-read, fantasy","to-read (#16), fantasy (#23)",to-read,,,,0,0
58261853,De ninguna parte,Julia Navarro,"Navarro, Julia",,"=""8401024935""","=""9788401024931""",0,3.98,Plaza & Janés,Kindle Edition,416,2021,2022,,2022/05/09,"to-read, historica","to-read (#14), historica (#1)",to-read,,,,0,0
55264209,Sistersong,Lucy  Holland,"Holland, Lucy",,"=""1529039037""","=""9781529039030""",0,3.98,Macmillan,Hardcover,416,2021,2021,,2022/05/09,"to-read, fantasy","to-read (#13), fantasy (#22)",to-read,,,,0,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2022/05/08,"to-read, distopia","to-read (#9), distopia (#1)",to-read,,,,0,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",0,3.89,Penguin,Kindle Edition,382,2020,2020,,2022/05/08,"to-read, thriller","to-read (#7), thriller (#4)",to-read,,,,0,0
54860614,Ariadne,Jennifer Saint,"Saint, Jennifer",,"=""125077358X""","=""9781250773586""",0,3.80,Flatiron Books,Hardcover,308,2021,2021,,2022/05/08,"to-read, fantasy","to-read (#3), fantasy (#20)",to-read,,,,0,0
58725016,Elektra,Jennifer Saint,"Saint, Jennifer",,"=""125077361X""","=""9781250773616""",0,3.69,Flatiron Books,Hardcover,291,2022,2022,,2022/05/08,"to-read, fantasy","to-read (#4), fantasy (#19)",to-read,,,,0,0
28677382,Mr. Mercedes,Stephen King,"King, Stephen",,"=""8490627665""","=""""",0,4.02,DeBolsillo,Perfect Paperback,496,2015,2014,,2022/05/08,"to-read, thriller","to-read (#6), thriller (#3)",to-read,,,,0,0
195466446,La asistenta,Freida McFadden,"McFadden, Freida",Carlos Abreu Fetter,"=""""","=""""",0,4.33,SUMA,Kindle Edition,354,2023,2022,,2024/04/24,"thriller, to-read","thriller (#1), to-read (#101)",to-read,,,,0,0
206801598,El secreto de la asistenta (La asistenta #2),Freida McFadden,"McFadden, Freida",Carlos Abreu Fetter,"=""8419835730""","=""9788419835734""",0,4.26,SUMA,Paperback,336,2024,2023,,2024/04/24,"thriller, to-read","thriller (#2), to-read (#100)",to-read,,,,0,0
21787,The Princess Bride,William Goldman,"Goldman, William",,"=""0345418263""","=""9780345418265""",0,4.27,Ballantine Books,Paperback,429,2003,1973,,2024/04/24,"fantasy, to-read","fantasy (#5), to-read (#99)",to-read,,,,0,0
55399,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,"=""0765348780""","=""9780765348784""",0,3.92,Tor Books,Mass Market Paperback,666,2005,1999,,2024/04/24,"fantasy, to-read","fantasy (#4), to-read (#98)",to-read,,,,0,0
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",0,4.18,Spectra Books,Mass Market Paperback,435,1996,1995,,2024/04/24,"fantasy, to-read","fantasy (#3), to-read (#97)",to-read,,,,0,0
18116,His Dark Materials (His Dark Materials #1-3),Philip Pullman,"Pullman, Philip",,"=""0440238609""","=""9780440238607""",0,4.29,Laurel Leaf,Mass Market Paperback,1088,2003,2000,,2024/04/24,"fantasy, to-read","fantasy (#2), to-read (#96)",to-read,,,,0,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",0,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2024/04/24,"fantasy, to-read","fantasy (#1), to-read (#95)",to-read,,,,0,0
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",0,4.07,Margaret K. McElderry Books,Hardcover,485,2007,2007,,2024/04/24,"fantasy, to-read","fantasy (#14), to-read (#94)",to-read,,,,0,0
6342491,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,"Chima, Cinda Williams","Larry Rostant, Arianne Lewin","=""1423118235""","=""9781423118237""",0,4.16,Hyperion Books,Hardcover,506,2009,2009,,2024/04/24,"fantasy, to-read","fantasy (#15), to-read (#93)",to-read,,,,1,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085530""","=""9780062085535""",0,4.14,HarperCollins ,Hardcover,461,2013,2013,,2024/04/24,"fantasy, to-read","fantasy (#18), to-read (#92)",to-read,,,,0,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,4.49,Henry Holt & Company,Hardcover,465,2015,2015,,2024/03/10,"to-read, fantasy","to-read (#80), fantasy (#17)",to-read,,,,0,0
18693743,"Prince of Fools (The Red Queen's War, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""0425268780""","=""9780425268780""",0,4.06,Ace,Hardcover,355,2014,2014,,2024/04/24,fantasy,fantasy (#16),read,,,,0,0
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.18,Bloomsbury USA Children's,Hardcover,406,2012,2012,,2024/04/24,,,read,,,,1,0
597790,The Children of Húrin,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Alan  Lee","=""0007246226""","=""9780007246229""",0,4.03,HarperCollins,Hardcover,315,2007,2007,,2024/04/24,fantasy,fantasy (#13),read,,,,0,0
210329,"The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper,"Cooper, Susan",,"=""1416949658""","=""9781416949657""",0,4.04,Margaret K. McElderry ,Paperback,244,2007,1973,,2024/04/24,fantasy,fantasy (#12),read,,,,0,0
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""006441034X""","=""9780064410342""",0,4.29,Harper Trophy,Mass Market Paperback,329,2001,1986,,2023/10/29,"to-read, fantasy","to-read (#23), fantasy (#11)",to-read,,,,0,0
478894,"The Sword of Shannara Trilogy (Shannara, #1-3)",Terry Brooks,"Brooks, Terry",,"=""0345453751""","=""9780345453754""",0,3.97,Del Rey,Hardcover,1200,2002,1979,,2024/04/24,fantasy,fantasy (#10),read,,,,0,0
91981,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,"Williams, Tad",,"=""0756402697""","=""9780756402693""",0,3.97,DAW,Paperback,672,2005,1988,,2024/04/24,fantasy,fantasy (#9),read,,,,0,0
29396,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,"Butcher, Jim",,"=""044101268X""","=""9780441012688""",0,4.13,Ace,Paperback,688,2005,2004,,2024/04/24,fantasy,fantasy (#8),read,,,,0,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.26,William Morrow,Mass Market Paperback,491,2006,1990,,2024/04/24,fantasy,fantasy (#7),read,,,,0,0
9579634,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""0007423292""","=""9780007423293""",0,3.84,Voyager,Hardcover,373,2011,2011,,2024/04/24,fantasy,fantasy (#6),read,,,,0,0
58340706,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0316312487""","=""9780316312486""",5,4.31,Orbit,Paperback,399,2022,2022,2024/04/22,2024/01/25,,,read,,,,1,0
123726608,"Unas galletas de muerte (Asesinato recién horneado, #1)",Joanne Fluke,"Fluke, Joanne",Vicente Campos,"=""8418933615""","=""9788418933615""",4,3.69,Alma,Paperback,370,2023,2000,2024/04/21,2024/03/13,,,read,,,,1,0
